CY,Code,Year,Country,Bud,Christ,Folk,Hindu,Jew,Mus,Other,Un
COL_2010,COL,2010,Colombia,0,0.933400605,0,0,0,0,0,0.066599395
COM_2010,COM,2010,Comoros,0,0,0,0,0,1,0,0
COG_2010,COG,2010,Republic of the Congo,0,0.859,0.028,0,0,0.012,0.011,0.09
COD_2010,COD,2010,Democratic Republic of the Congo,0,0.966700303,0,0,0,0.015136226,0,0.018163471
COK_2010,COK,2010,Cook Islands,0,0.967741935,0,0,0,0,0,0.032258065
CRI_2010,CRI,2010,Costa Rica,0,0.920040486,0,0,0,0,0,0.079959514
CIV_2010,CIV,2010,Ivory Coast,0,0.441883768,0.102204409,0,0,0.375751503,0,0.080160321
HRV_2010,HRV,2010,Croatia,0,0.934934935,0,0,0,0.014014014,0,0.051051051
CUB_2010,CUB,2010,Cuba,0,0.59437751,0.174698795,0,0,0,0,0.230923695
CYP_2010,CYP,2010,Cyprus,0,0.734202608,0,0,0,0.253761284,0,0.012036108
CZE_2010,CZE,2010,Czech Republic,0,0.233701103,0,0,0,0,0,0.766298897
DNK_2010,DNK,2010,Denmark,0,0.840040241,0,0,0,0.041247485,0,0.118712274
DJI_2010,DJI,2010,Djibouti,0,0.023185484,0,0,0,0.976814516,0,0
DMA_2010,DMA,2010,Dominica,0,0.952573158,0.030272452,0,0,0,0.01715439,0
DOM_2010,DOM,2010,Dominican Republic,0,0.889787664,0,0,0,0,0,0.110212336
ECU_2010,ECU,2010,Ecuador,0,0.944779116,0,0,0,0,0,0.055220884
EGY_2010,EGY,2010,Egypt,0,0.051,0,0,0,0.949,0,0
SLV_2010,SLV,2010,El Salvador,0,0.889112903,0,0,0,0,0,0.110887097
GNQ_2010,GNQ,2010,Equatorial Guinea,0,0.892354125,0.017102616,0,0,0.040241449,0,0.050301811
ERI_2010,ERI,2010,Eritrea,0,0.632160804,0,0,0,0.367839196,0,0
EST_2010,EST,2010,Estonia,0,0.401005025,0,0,0,0,0,0.598994975
ETH_2010,ETH,2010,Ethiopia,0,0.628,0.026,0,0,0.346,0,0
FRO_2010,FRO,2010,Faeroe Islands,0,0.982948847,0,0,0,0,0,0.017051153
FLK_2010,FLK,2010,Falkland Islands (Malvinas),0,0.680851064,0,0,0,0,0,0.319148936
FJI_2010,FJI,2010,Fiji,0,0.653144016,0,0.28296146,0,0.063894523,0,0
FIN_2010,FIN,2010,Finland,0,0.807459677,0,0,0,0,0,0.192540323
FRA_2010,FRA,2010,France,0,0.639593909,0,0,0,0.076142132,0,0.284263959
GUF_2010,GUF,2010,French Guiana,0,0.856852792,0.092385787,0.016243655,0,0,0,0.034517766
PYF_2010,PYF,2010,French Polynesia,0,0.950455005,0,0,0,0,0,0.049544995
GAB_2010,GAB,2010,Gabon,0,0.770392749,0.060422961,0,0,0.112789527,0,0.056394763
GMB_2010,GMB,2010,Gambia,0,0.045180723,0,0,0,0.954819277,0,0
GEO_2010,GEO,2010,Georgia,0,0.892137097,0,0,0,0.107862903,0,0
DEU_2010,DEU,2010,Germany,0,0.692540323,0,0,0,0.058467742,0,0.248991935
GHA_2010,GHA,2010,Ghana,0,0.750501002,0.049098196,0,0,0.158316633,0,0.042084168
GIB_2010,GIB,2010,Gibraltar,0,0.891566265,0,0.018072289,0.021084337,0.040160643,0,0.029116466
GRC_2010,GRC,2010,Greece,0,0.885427136,0,0,0,0.053266332,0,0.061306533
GRL_2010,GRL,2010,Greenland,0,0.97464503,0,0,0,0,0,0.02535497
GRD_2010,GRD,2010,Grenada,0,0.986721144,0.013278856,0,0,0,0,0
GLP_2010,GLP,2010,Guadeloupe,0,0.974593496,0,0,0,0,0,0.025406504
GUM_2010,GUM,2010,Guam,0.010989011,0.941058941,0.014985015,0,0,0,0.015984016,0.016983017
GTM_2010,GTM,2010,Guatemala,0,0.958710977,0,0,0,0,0,0.041289023
GIN_2010,GIN,2010,Guinea,0,0.109218437,0.027054108,0,0,0.845691383,0,0.018036072
GNB_2010,GNB,2010,Guinea-Bissau,0,0.197,0.309,0,0,0.451,0,0.043
GUY_2010,GUY,2010,Guyana,0,0.664652568,0,0.250755287,0,0.064451158,0,0.020140987
HTI_2010,HTI,2010,Haiti,0,0.871614845,0.022066199,0,0,0,0,0.106318957
VAT_2010,VAT,2010,Vatican City,0,1,0,0,0,0,0,0
HND_2010,HND,2010,Honduras,0,0.883064516,0.01108871,0,0,0,0,0.105846774
HKG_2010,HKG,2010,Hong Kong,0.132397192,0.143430291,0.128385155,0,0,0.018054162,0.015045135,0.562688064
HUN_2010,HUN,2010,Hungary,0,0.813253012,0,0,0,0,0,0.186746988
ISL_2010,ISL,2010,Iceland,0,0.964467005,0,0,0,0,0,0.035532995
IND_2010,IND,2010,India,0,0.025329281,0,0.805471125,0,0.145896657,0.023302938,0
